ID;RIJPTIJD;KIEMRUST;KOOKSCORE;KOOKTYPE;VLEESKLEUR NA KOKEN;VERKLEURING KOKEN;NABAKKEN;GRAUW NA VOORBAKKEN;Negatief
R83;54;0;39;BC ;51;59;66;72;77
R84;65;0;41;BC ;56;60;70;74;70
R85;50;0;39;BC ;63;58;62;69;17
R86;50;0;31;B  ;55;52;61;54;22
R87;68;0;31;B  ;70;62;70;76;57
R88;70;0;32;B  ;68;70;67;71;79
R89;68;0;30;B  ;70;67;63;70;72
R9;71;0;40;BC ;63;62;72;77;41
R90;65;0;37;BC ;62;67;72;70;22
R91;70;0;40;BC ;61;66;76;74;18
R92;68;0;38;BC ;61;71;67;75;55
R93;56;0;41;BC ;60;67;61;67;38
R94;53;0;35;BC ;65;67;76;76;67
R95;50;0;43;BC ;65;57;70;68;54
R96;50;0;48;C  ;67;61;67;70;58
R97;63;0;42;BC ;60;66;67;75;46
R98;58;0;33;B  ;52;61;67;68;65
R99;62;0;32;B  ;66;65;66;69;58
